Name,Latitude,Longitude,Type,Size,Cluster
Cluster_0,40.523716,-80.224183,Small Business,Small,0
Cluster_1,40.529469,-80.240161,Small Business,Small,1
Cluster_2,40.517706,-80.221335,Small Business,Small,2
Grunau,40.508802,-80.235903,Small Business,Small,3
Cluster_4,40.511286,-80.213106,Small Business,Small,4
Cluster_5,40.523134,-80.219771,Small Business,Small,5
Cluster_7,40.513163,-80.228012,Small Business,Small,6
Cluster_8,40.527359,-80.209671,Small Business,Small,7
Robert Morris,40.519489,-80.213948,University,Small,8
Cluster_11,40.536554,-80.225513,Small Business,Small,9
Cluster_12,40.524685,-80.215243,Small Business,Small,10
Cluster_13,40.53958,-80.218651,Small Business,Small,11
Cluster_14,40.516938,-80.220228,Small Business,Small,12
Cluster_16,40.508654,-80.222487,Small Business,Small,13
Thorn Run Crossing,40.505738,-80.208916,Small Business,Small,14
Giant Eagle,40.52154,-80.219399,Small Business,Small,15
Airport Office Park1,40.502336,-80.213142,Office,Large,16
Airport Office Park2,40.500636,-80.211722,Office,Large,17
Dicks Sporting Goods,40.508223,-80.26567,Corporate,Large,18
DoubleTree,40.509181,-80.223736,Hotel,Large,19
Hampton Inn,40.507982,-80.224187,Hotel,Large,20
La Quinta,40.507851,-80.222293,Hotel,Large,21
Michael Baker International,40.498587,-80.219399,Corporate,Large,22
Quality Inn,40.500565,-80.209665,Hotel,Large,23
Sheraton Airport Inn,40.501697,-80.209359,Hotel,Large,24
Walmart,40.515863,-80.224144,Grocery,Large,25
Adapt Health,40.498465,-80.214694,Health Care,Large,26
Park_and_Ride,40.503922,-80.225733,Transit,Large,27
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
